Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
13615,网络配图网络配图网络配图网络配图网络配图网络配图网络配图网络配图,32,32,1,,527,0.7387%,
22973,让人心痛的话欢迎各位朋友回家感谢你们的鼎力支持相信未来会携手前行,32,32,2,,11649,16.3275%,
38904,反反复复反反复复反反复复反反复复反反复复反反复复反反复复反反复复,32,32,3,,238,0.3336%,
74757,加胡椒粉和骄傲善举和积分卡技术放假时间繁花似锦胡椒粉和说句话家具,32,32,4,,3808,5.3374%,
74899,哈酒圣诞节后视镜爱护动物和东方红届时将会找机会撒啊啊啊啊啊撒的发,32,32,5,,3323,4.6576%,
75600,微信关注博野在线微信关注博野在线微信关注博野在线微信关注博野在线,32,32,6,,1775,2.4879%,
74793,圣诞节按实际放寒暑假的户外护肤和建设局下班就恢复结合实际家和,30,30,7,,3007,4.2147%,
74930,大幅度发大幅度发大幅度发大幅度发大幅度发基本圣诞节氨甲环酸,29,29,8,,1781,2.4963%,
74792,健身房就撒娇背景下长时间粉红色就像你这么说就回房间杀菌和,28,28,9,,1978,2.7724%,
74721,服务法师事实上事实上事实上发反反复复飞放不下就带回家,26,26,10,,3451,4.8370%,
33165,詹飘飘詹飘飘詹飘飘詹飘飘詹飘飘詹飘飘詹飘飘詹飘飘,24,24,11,,34,0.0477%,
69672,灵异吧灵异吧灵异吧灵异吧灵异吧灵异吧灵异吧灵异吧,24,24,12,,133,0.1864%,
17378,这世间凡事都能说个明白唯有人和人之间的感情例外,23,23,13,,3595,5.0388%,
82867,坚持以习近平新时代中国特色社会主义思想为指导,22,22,14,,5095,7.1413%,
74726,圣诞节我还记得和交话费接电话就是不行只能说,21,21,15,,3119,4.3717%,
64924,城市网邓州城市网邓州城市网邓州城市网邓州,20,20,16,,826,1.1577%,
75535,微信公众号微信公众号微信公众号微信公众号,20,20,17,,614,0.8606%,
83045,不要盲目的去追求她如果你想追一个女孩的话,20,20,18,,3640,5.1019%,
89667,本平台将更正来源及作者或依据著作权人意见,20,20,19,,2369,3.3204%,
74798,北京市房就说句话杀菌和送积分换届时将会,19,19,20,,332,0.4653%,
76754,并不代表本号赞同其观点和对其真实性负责,19,19,21,,2195,3.0766%,
83044,可靠性或完整性提供任何明示或暗示的保证,19,19,22,,1867,2.6168%,
18934,若有来源标注错误或侵犯了您的合法权益,18,18,23,,1489,2.0870%,
34191,在我们实现美好理想和远大目标的征途上,18,18,24,,1679,2.3533%,
80354,新型冠状病毒感染的肺炎疫情防控指挥部,18,18,25,,2013,2.8215%,
34458,这些看来都是生活中再平常不过的小事,17,17,26,,2576,3.6106%,
36717,新型冠状病毒感染的肺炎疫情防控工作,17,17,27,,664,0.9307%,
38717,这样您就可以继续免费收到最新文章了,17,17,28,,1968,2.7584%,
40573,我们分享此文出于传播更多资讯之目的,17,17,29,,1856,2.6014%,
61638,和新疆生产建设兵团报告新增确诊病例,17,17,30,,1180,1.6539%,
74768,骄傲和武汉分手机话费交换机和福建省,17,17,31,,355,0.4976%,
85217,邓州论坛邓州论邓州论坛邓州论坛邓州,17,17,32,,105,0.1472%,
21239,转载此文是出于传递更多信息之目的,16,16,33,,420,0.5887%,
23291,本文部分文字与图片资源来自于网络,16,16,34,,1005,1.4086%,
35369,就不知里面有什么风景和奇特的构造,16,16,35,,1396,1.9567%,
38401,哪还有低着头走进去换来的那种欢笑,16,16,36,,1461,2.0478%,
68619,全面建设社会主义现代化国家新征程,16,16,37,,974,1.3652%,
75528,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,16,16,38,,22,0.0308%,
83098,禄劝禄劝禄劝禄劝禄劝禄劝禄劝禄劝,16,16,39,,29,0.0406%,
28452,这样您就可以继续免费收到文章了,15,15,40,,1,0.0014%,
55678,新型冠状病毒感染的肺炎确诊病例,15,15,41,,1,0.0014%,
75702,统筹推进疫情防控和经济社会发展,15,15,42,,1006,1.4100%,
79074,累计收到港澳台地区通报确诊病例,15,15,43,,1383,1.9384%,
79270,未开放时绛紫色的花苞象小家碧玉,15,15,44,,579,0.8115%,
33298,请在后台留言联系我们进行删除,14,14,45,,946,1.3259%,
35262,就会被碰头甚而被碰得头破血流,14,14,46,,711,0.9966%,
37544,中华人民共和国道路交通安全法,14,14,47,,1529,2.1431%,
38615,到了谁家里都得低着头才能进去,14,14,48,,231,0.3238%,
38741,最后说了谢谢你有多少句我爱你,14,14,49,,243,0.3406%,
60022,应对新型冠状病毒感染肺炎疫情,14,14,50,,207,0.2901%,
61443,中华人民共和国治安管理处罚法,14,14,51,,687,0.9629%,
69760,喜欢小编为你精心编辑的文章吗,14,14,52,,469,0.6574%,
72500,在以习近平同志为核心的党中央,14,14,53,,466,0.6532%,
76642,与我们共享昙花开放的美好时光,14,14,54,,216,0.3027%,
85489,新型冠状病毒肺炎疫情防控工作,14,14,55,,9,0.0126%,
89181,应对新冠肺炎疫情工作领导小组,14,14,56,,354,0.4962%,
32732,遇到了一个个美丽自然的石洞,13,13,57,,529,0.7415%,
35332,奇特的造型充满了神秘和诱惑,13,13,58,,350,0.4906%,
37548,分享给身边的朋友一起关注吧,13,13,59,,498,0.6980%,
38362,假如堂叔到我家进门时不低头,13,13,60,,287,0.4023%,
