Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
41880,判决书送达之日起十五日内,12,12,1,,626,2.9210%,
42021,并按对方当事人的人数,10,10,2,,2639,12.3139%,
33260,本案现已审理终结,8,8,3,,526,2.4544%,
38351,向本院递交上诉状,8,8,4,,497,2.3191%,
59445,中国特色社会主义,8,8,5,,892,4.1622%,
7928,中华人民共和国,7,7,6,,360,1.6798%,
29541,市中级人民法院,7,7,7,,269,1.2552%,
40567,若干问题的解释,7,7,8,,233,1.0872%,
42172,第二百五十三条,7,7,9,,323,1.5072%,
44240,指定的期间履行,7,7,10,,460,2.1464%,
44642,非物质文化遗产,7,7,11,,424,1.9784%,
50029,的重要组成部分,7,7,12,,664,3.0983%,
55251,住院伙食补助费,7,7,13,,159,0.7419%,
56012,依法组成合议庭,7,7,14,,189,0.8819%,
56318,市场监督管理局,7,7,15,,275,1.2832%,
13353,股份有限公司,6,6,16,,534,2.4917%,
14042,根据权利要求,6,6,17,,193,0.9006%,
21238,最高人民法院,6,6,18,,176,0.8212%,
26782,疫情防控工作,6,6,19,,446,2.0811%,
27009,本实用新型的,6,6,20,,438,2.0438%,
27149,科技有限公司,6,6,21,,97,0.4526%,
29569,有限责任公司,6,6,22,,101,0.4713%,
29803,值得一提的是,6,6,23,,1099,5.1281%,
30850,到庭参加诉讼,6,6,24,,276,1.2879%,
31560,集团有限公司,6,6,25,,58,0.2706%,
33210,如不服本判决,6,6,26,,520,2.4264%,
34494,经济社会发展,6,6,27,,366,1.7078%,
36289,新冠肺炎疫情,6,6,28,,38,0.1773%,
36970,▁本实用新型的,7,6,29,,3,0.0140%,
37464,新型冠状病毒,6,6,30,,65,0.3033%,
37937,▁具体实施方式,7,6,31,,209,0.9752%,
38293,道路交通安全,6,6,32,,393,1.8338%,
38305,值得注意的是,6,6,33,,141,0.6579%,
39342,道路交通事故,6,6,34,,26,0.1213%,
39958,判处有期徒刑,6,6,35,,83,0.3873%,
41003,于本判决生效,6,6,36,,327,1.5258%,
