Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
64960, 生命周期函数,7,6,1,,51,5.1777%,
98128, 自动生成,5,4,6,,15,1.5228%,
65053,监听页面,4,4,2,,22,2.2335%,
65884,不能为空,4,4,3,,22,2.2335%,
76718,微软雅黑,4,4,4,,19,1.9289%,o
92099,删除成功,4,4,5,,23,2.3350%,
77190, 初始化,4,3,14,,16,1.6244%,
45516,"！"");",4,1,302,,1,0.1015%,
85998,！');,4,1,530,,1,0.1015%,
87474,無しさん,4,1,542,,1,0.1015%,
99072,。www,4,1,618,,1,0.1015%,o
49055,请输入,3,3,7,,21,2.1320%,
60205,用户名,3,3,8,,20,2.0305%,
67658,字符串,3,3,9,,15,1.5228%,
67986,验证码,3,3,10,,13,1.3198%,
70284,不存在,3,3,11,,14,1.4213%,
75493,数据库,3,3,12,,10,1.0152%,
76455,手机号,3,3,13,,12,1.2183%,
79108,设计器,3,3,15,,15,1.5228%,
80003,，默认,3,3,16,,163,16.5482%,
81506,请选择,3,3,17,,7,0.7107%,
90147,服务器,3,3,18,,10,1.0152%,
96557,管理员,3,3,19,,12,1.2183%,
41771, 获取,3,2,42,,8,0.8122%,
48858, 创建,3,2,58,,7,0.7107%,
51142, 用户,3,2,61,,1,0.1015%,
52188,�始化,3,2,64,,3,0.3046%,
54154, 设置,3,2,68,,3,0.3046%,
56716, 返回,3,2,75,,1,0.1015%,
58004, 下午,3,2,76,,10,1.0152%,
63362, 数据,3,2,92,,3,0.3046%,
64171, 修改,3,2,93,,1,0.1015%,
64173, 删除,3,2,94,,1,0.1015%,
70158, 输入,3,2,110,,4,0.4061%,
70694, 文件,3,2,111,,3,0.3046%,
71668, 输出,3,2,115,,1,0.1015%,
72069, 参数,3,2,118,,1,0.1015%,
73051, 是否,3,2,123,,3,0.3046%,
75259, 页面,3,2,133,,1,0.1015%,
79203, 更新,3,2,151,,3,0.3046%,
81526, 示例,3,2,157,,3,0.3046%,
81628, 查询,3,2,159,,3,0.3046%,
81646, 默认,3,2,160,,1,0.1015%,
81976, 请求,3,2,162,,1,0.1015%,
82363, 如果,3,2,164,,3,0.3046%,
82554, 方法,3,2,166,,3,0.3046%,
83439, 添加,3,2,173,,1,0.1015%,
86758, 使用,3,2,184,,1,0.1015%,
92318, 时间,3,2,210,,1,0.1015%,
96407, 商品,3,2,224,,3,0.3046%,
98261, 注意,3,2,227,,3,0.3046%,
99496, 若要,3,2,234,,3,0.3046%,
99643,"】,【",3,2,236,,3,0.3046%,
28587,��取,3,1,251,,1,0.1015%,
36225,��加,3,1,269,,1,0.1015%,
37648,��作,3,1,273,,1,0.1015%,
38232,。</,3,1,277,,3,0.3046%,
40466,��态,3,1,281,,1,0.1015%,
47436,：</,3,1,312,,3,0.3046%,
63093,"。',",3,1,384,,1,0.1015%,
64376,"。"",",3,1,388,,1,0.1015%,
70041,��索,3,1,423,,1,0.1015%,
81546,"：""+",3,1,500,,1,0.1015%,
84765,"！"",",3,1,524,,1,0.1015%,
85663,無し�,3,1,528,,1,0.1015%,
20145,】【,2,2,20,,25,2.5381%,
21082,时间,2,2,21,,10,1.0152%,
22820,失败,2,2,22,,5,0.5076%,
26239,修改,2,2,23,,8,0.8122%,
27996,文件,2,2,24,,14,1.4213%,
28469,信息,2,2,25,,6,0.6091%,
30019,。。,2,2,26,,904,91.7766%,
31091,名称,2,2,27,,3,0.3046%,
32351,！！,2,2,28,,94,9.5431%,
32626,返回,2,2,29,,6,0.6091%,
33005,类型,2,2,30,,7,0.7107%,
33200,错误,2,2,31,,5,0.5076%,
33765,参数,2,2,32,,5,0.5076%,
33967,密码,2,2,33,,3,0.3046%,
35959,请求,2,2,34,,5,0.5076%,
36515,登录,2,2,35,,7,0.7107%,
36896,、「,2,2,36,,30,3.0457%,
38129,使用,2,2,37,,5,0.5076%,
38741,。，,2,2,38,,1,0.1015%,
39045,，请,2,2,39,,1,0.1015%,
41007,方法,2,2,40,,10,1.0152%,
41190,操作,2,2,41,,5,0.5076%,
43955,添加,2,2,43,,8,0.8122%,
44529,　　,2,2,44,,3,0.3046%,
44915,内容,2,2,45,,5,0.5076%,
45018,设置,2,2,46,,7,0.7107%,
45191,状态,2,2,47,,4,0.4061%,
45277,列表,2,2,48,,6,0.6091%,
46031,字段,2,2,49,,3,0.3046%,
46239,提示,2,2,50,,12,1.2183%,
46885,日期,2,2,51,,4,0.4061%,
47030,图片,2,2,52,,6,0.6091%,
47043,商品,2,2,53,,10,1.0152%,
47200,代码,2,2,54,,3,0.3046%,
47577,地址,2,2,55,,5,0.5076%,
47585,保存,2,2,56,,3,0.3046%,
48044,一个,2,2,57,,6,0.6091%,
