Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
106378,　　　　　　　　　　　　　　　　,16,16,1,,633,7.9543%,o
139508,【อ่านข้อความเต็ม,16,1,4443,,1,0.0126%,o
181081, 微信公众号天天中彩票,11,10,2,,1644,20.6585%,p
185118,_日本毛片免费视频观看,11,10,3,,564,7.0872%,p
170996, 微信上的天天中彩票,10,9,6,,158,1.9854%,p
187716, 微信里的天天中彩票,10,9,8,,25,0.3141%,p
188394, 天天中彩票大神推荐,10,9,9,,434,5.4536%,p
147058,VIPがお送りします,10,1,4531,,1,0.0126%,o
113125,大发展有限公司官网,9,9,4,,596,7.4893%,p
128031,久久免费热在线精品,9,9,5,,391,4.9133%,p
177431,给主人留下些什么吧,9,9,7,,332,4.1719%,o
55935, 彩神争霸大发快三,9,8,10,,511,6.4212%,p
75794, 天天中彩票中大奖,9,8,11,,69,0.8671%,p
94212, 天天中彩票双色球,9,8,13,,77,0.9676%,p
115205, 天天中彩票不中返,9,8,14,,85,1.0681%,p
116852, 中国福利彩票天天,9,8,15,,170,2.1362%,p
118406, 天天中彩票为什么,9,8,16,,22,0.2765%,p
148388, 微信的天天中彩票,9,8,20,,1,0.0126%,p
148502, 天天彩票与你同行,9,8,21,,121,1.5205%,p
153710, 天天中彩票一等奖,9,8,22,,21,0.2639%,p
154365, 天天中彩票中奖了,9,8,23,,43,0.5403%,p
154809,无码不卡高清免费v,9,8,24,,1,0.0126%,p
155288, 手机上天天中彩票,9,8,25,,122,1.5330%,p
160229, 天天中彩票是不是,9,8,26,,73,0.9173%,p
165019, 天天中彩票怎么买,9,8,28,,76,0.9550%,p
172750, 大发快三大小单双,9,8,29,,173,2.1739%,p
173607, 彩神争霸官方下载,9,8,30,,91,1.1435%,p
177989,",最新高清无码专区",9,8,32,,1,0.0126%,p
184969,_日本一级特黄大片,9,8,33,,87,1.0932%,p
187822, 大发快三开奖结果,9,8,35,,128,1.6084%,p
187980, 天天中彩票公众号,9,8,36,,1,0.0126%,p
194217, 全民彩票天天送钱,9,8,38,,139,1.7467%,p
197144, 手机版天天中彩票,9,8,39,,31,0.3895%,p
198105, 天天中彩票不能买,9,8,40,,35,0.4398%,p
