Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
25145,如有侵权请联系删除,9,9,1,,291,1.0227%,
29423,和人之间的感情例外,9,9,2,,981,3.4477%,
29978,人力资源和社会保障,9,9,3,,240,0.8435%,
14047,版权归原作者所有,8,8,4,,169,0.5939%,
14837,新型冠状病毒感染,8,8,5,,176,0.6185%,
18619,网络配图网络配图,8,8,6,,79,0.2776%,
21706,新型冠状病毒肺炎,8,8,7,,25,0.0879%,
23239,中国特色社会主义,8,8,8,,246,0.8646%,
25108,新冠肺炎疫情防控,8,8,9,,106,0.3725%,
29425,凡事都能说个明白,8,8,10,,315,1.1070%,
29856,请您先点击上面的,8,8,11,,251,0.8821%,
30276,这样您就可以继续,8,8,12,,323,1.1352%,
30371,新冠肺炎确诊病例,8,8,13,,33,0.1160%,
11643,中华人民共和国,7,7,14,,102,0.3585%,
27109,长按识别二维码,7,7,15,,157,0.5518%,
29393,和人之间的感情,7,7,2,1,2,0.0070%,
30022,来源标注错误或,7,7,16,,147,0.5166%,
30443,市场监督管理局,7,7,17,,206,0.7240%,
9001,新型冠状病毒,6,6,5,1,3,0.0105%,
11104,疫情防控工作,6,6,18,,70,0.2460%,
12605,版权归原作者,6,6,4,1,2,0.0070%,
12850,习近平总书记,6,6,19,,128,0.4498%,
14819,新冠肺炎疫情,6,6,9,1,2,0.0070%,
15765,无症状感染者,6,6,20,,43,0.1511%,
17628,党史学习教育,6,6,21,,169,0.5939%,
18001,科技有限公司,6,6,22,,154,0.5412%,
18313,股份有限公司,6,6,23,,21,0.0738%,
20950,集团有限公司,6,6,24,,28,0.0984%,
23008,有限责任公司,6,6,25,,41,0.1441%,
23525,经济社会发展,6,6,26,,148,0.5201%,
26132,传递更多信息,6,6,27,,181,0.6361%,
26170,这样您就可以,6,6,12,1,2,0.0070%,
27157,工作领导小组,6,6,28,,102,0.3585%,
28131,内蒙古自治区,6,6,29,,159,0.5588%,
28686,疫情防控期间,6,6,30,,46,0.1617%,
29092,道路交通安全,6,6,31,,228,0.8013%,
30736,做好个人防护,6,6,32,,112,0.3936%,
31056,中高风险地区,6,6,33,,158,0.5553%,
11071,微信公众号,5,5,34,,54,0.1898%,
11595,人民共和国,5,5,14,1,2,0.0070%,
12120,中国共产党,5,5,35,,41,0.1441%,
14505,来源于网络,5,5,36,,49,0.1722%,
15550,请联系删除,5,5,1,1,2,0.0070%,
16865,高质量发展,5,5,37,,48,0.1687%,
17335,密切接触者,5,5,38,,55,0.1933%,
17565,下方二维码,5,5,39,,110,0.3866%,
18064,犯罪嫌疑人,5,5,40,,36,0.1265%,
18240,融媒体中心,5,5,41,,125,0.4393%,
20445,长按二维码,5,5,42,,1,0.0035%,
20521,请联系我们,5,5,43,,138,0.4850%,
21699,人大常委会,5,5,44,,182,0.6396%,
22790,高风险地区,5,5,33,1,2,0.0070%,
23947,广播电视台,5,5,45,,107,0.3760%,
24345,高校毕业生,5,5,46,,169,0.5939%,
25047,及以上学历,5,5,47,,40,0.1406%,
25819,人民检察院,5,5,48,,51,0.1792%,
26611,之间的感情,5,5,2,2,3,0.0105%,
26980,一起来看看,5,5,49,,304,1.0684%,
27036,疫情防控和,5,5,50,,1,0.0035%,
