Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
37109,习近平新时代中国特色社会主义思想,16,16,1,,2230,7.1346%,
44391,本文部分文字与图片资源来自于网络,16,16,2,,1534,4.9079%,
44930,转载此文是出于传递更多信息之目的,16,16,3,,3491,11.1691%,
45716,▁我们就不得不考虑它出现了的事实,16,15,4,,2307,7.3810%,
49568,▁相信对这个世界也是有一定意义的,16,15,5,,2371,7.5857%,
46582,不得不面对一个非常尴尬的事实,14,14,6,,400,1.2798%,
47016,▁我们都必须务必慎重的考虑考虑,15,14,7,,448,1.4333%,
36959,新时代中国特色社会主义思想,13,13,1,1,2,0.0064%,
45878,这似乎是一种不可避免的事实,13,13,8,,444,1.4205%,
46862,在每个日日夜夜思考这个问题,13,13,9,,777,2.4859%,
47276,每个人都不得不面对这些问题,13,13,10,,615,1.9676%,
48101,以习近平同志为核心的党中央,13,13,11,,921,2.9466%,
48104,的出现仍然代表了一定的意义,13,13,12,,284,0.9086%,
49035,对这个世界也是有一定意义的,13,13,5,1,2,0.0064%,
51374,全面建设社会主义现代化国家,13,13,13,,761,2.4347%,
53881,▁每个人都不得不面对这些问题,14,13,14,,1,0.0032%,
54057,▁这种事实对本人来说意义重大,14,13,15,,601,1.9228%,
39404,本文内容及图片均来源网络,12,12,16,,217,0.6943%,
44770,是出于传递更多信息之目的,12,12,3,1,2,0.0064%,
36483,新时代中国特色社会主义,11,11,1,2,3,0.0096%,
43895,我们会第一时间予以删除,11,11,17,,303,0.9694%,
44278,本文部分文字与图片资源,11,11,2,1,2,0.0064%,
45107,人民代表大会常务委员会,11,11,18,,362,1.1582%,
45158,到底是一种怎么样的存在,11,11,19,,504,1.6125%,
45294,请立即后台留言通知我们,11,11,20,,536,1.7149%,
45784,▁到底是一种怎么样的存在,12,11,21,,10,0.0320%,
45816,但如果我们从一个更大的,11,11,22,,315,1.0078%,
46235,全面建设社会主义现代化,11,11,13,1,2,0.0064%,
49041,事实对本人来说意义重大,11,11,15,1,2,0.0064%,
50843,迎接党的二十大胜利召开,11,11,23,,559,1.7885%,
53510,▁本人也是经过了深思熟虑,12,11,24,,347,1.1102%,
54187,▁在这种不可避免的冲突下,12,11,25,,227,0.7263%,
54343,党的十九届六中全会精神,11,11,26,,231,0.7391%,
45470,仍然代表了一定的意义,10,10,12,1,2,0.0064%,
45726,▁是解决一切问题的关键,11,10,27,,336,1.0750%,
46608,而这些并不是完全重要,10,10,28,,482,1.5421%,
47211,实现中华民族伟大复兴,10,10,29,,220,0.7039%,
47235,我们必须解决这个问题,10,10,30,,5,0.0160%,
47886,▁其他一切则会迎刃而解,11,10,31,,256,0.8190%,
50831,说过一句富有哲理的话,10,10,32,,301,0.9630%,
51944,▁我们不妨可以这样来想,11,10,33,,107,0.3423%,
53344,▁而这些并不是完全重要,11,10,34,,3,0.0096%,
53417,这样您就可以继续免费,10,10,35,,106,0.3391%,
38793,是一种怎么样的存在,9,9,19,1,3,0.0096%,
44348,并同时向您表示歉意,9,9,36,,150,0.4799%,
44524,传递更多信息之目的,9,9,3,2,3,0.0096%,
44544,侵犯了您的合法权益,9,9,37,,341,1.0910%,
44587,若有来源标注错误或,9,9,38,,178,0.5695%,
44883,社会主义核心价值观,9,9,39,,133,0.4255%,
45344,解决一切问题的关键,9,9,27,1,2,0.0064%,
45391,考虑它出现了的事实,9,9,4,1,2,0.0064%,
45543,问题的关键究竟为何,9,9,40,,117,0.3743%,
45847,党的二十大胜利召开,9,9,23,1,2,0.0064%,
45921,人力资源和社会保障,9,9,41,,481,1.5389%,
46581,一个非常尴尬的事实,9,9,6,1,2,0.0064%,
46630,务必慎重的考虑考虑,9,9,7,1,2,0.0064%,
46672,庆祝中国共产党成立,9,9,42,,377,1.2062%,
46859,也是经过了深思熟虑,9,9,24,1,2,0.0064%,
47092,▁那么就必须慎重考虑,10,9,43,,71,0.2272%,
47262,每个人都不得不面对,9,9,10,1,3,0.0096%,
50294,在不经意间这样说过,9,9,44,,19,0.0608%,
52082,▁问题的关键究竟为何,10,9,45,,1,0.0032%,
53829,▁在这种困难的抉择下,10,9,46,,94,0.3007%,
54442,中华人民共和国成立,9,9,47,,19,0.0608%,
34171,中国特色社会主义,8,8,1,3,4,0.0128%,
38705,中华民族伟大复兴,8,8,29,1,2,0.0064%,
39384,本文内容及图片均,8,8,16,1,2,0.0064%,
42825,习近平总书记关于,8,8,48,,221,0.7071%,
45253,是非常非常重要的,8,8,49,,34,0.1088%,
45290,后台留言通知我们,8,8,20,1,2,0.0064%,
45436,仍然代表了一定的,8,8,12,2,3,0.0096%,
45467,▁到底应该如何实现,9,8,50,,136,0.4351%,
45551,不妨可以这样来想,8,8,33,1,2,0.0064%,
45739,▁是非常非常重要的,9,8,51,,1,0.0032%,
45815,▁到底需要如何做到,9,8,52,,139,0.4447%,
45905,▁不能不说非常重大,9,8,53,,183,0.5855%,
46626,更加重要的问题是,8,8,54,,119,0.3807%,
47015,▁更加重要的问题是,9,8,55,,1,0.0032%,
47152,不可避免的冲突下,8,8,25,1,2,0.0064%,
47514,▁在面对这种问题时,9,8,56,,11,0.0352%,
47529,抓住了问题的关键,8,8,57,,63,0.2016%,
47537,一切则会迎刃而解,8,8,31,1,2,0.0064%,
47885,▁抓住了问题的关键,9,8,58,,1,0.0032%,
47985,科技股份有限公司,8,8,59,,478,1.5293%,
49031,也是有一定意义的,8,8,5,2,3,0.0096%,
50060,月加入中国共产党,8,8,60,,169,0.5407%,
50536,请您先点击上面的,8,8,61,,455,1.4557%,
50869,这样您就可以继续,8,8,35,1,2,0.0064%,
51110,全面建成小康社会,8,8,62,,152,0.4863%,
51477,说过一句著名的话,8,8,63,,137,0.4383%,
52282,国家自然科学基金,8,8,64,,451,1.4429%,
